Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
Gundam G no Reconguista,"['Action', 'Sci-Fi', 'Space', 'Mecha']",TV,"['Sotsu', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['Sunrise'],5.81,6703.0,3012.0,19722.0,26.0,Original,"Oct 3, 2014 to Mar 27, 2015"
Genroku Koi Moyou Sankichi to Osayo,"['Adventure', 'Romance']",Movie,['The National Film Center Japan'],,5.37,99.0,11533.0,248.0,1.0,Original,"Jun 23, 1934"
Hello Kiniro Mosaic,"['Slice of Life', 'Comedy', 'School', 'Seinen']",TV,"['Genco', 'flying DOG', 'Showgate']",['Studio Gokumi'],7.6,21367.0,1735.0,45869.0,12.0,4-koma manga,"Apr 6, 2015 to Jun 22, 2015"
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",TV,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Kyoraku Industrial Holdings']",['A-1 Pictures'],8.88,411504.0,28.0,714296.0,22.0,Manga,"Oct 10, 2014 to Mar 20, 2015"
TsubuDoll,['Music'],OVA,,,6.3020924157074045,11913.731535105117,8229.0,1429.0,5.0,Original,Not available
Saenai Heroine no Sodatekata,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",TV,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Cospa', 'Fuji Pacific Music Publishing', 'Good Smile Company', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Fujimi Shobo']",['A-1 Pictures'],7.65,127160.0,284.0,262075.0,12.0,Light novel,"Jan 16, 2015 to Mar 27, 2015"
Gyakusatsu Kikan,"['Military', 'Sci-Fi', 'Psychological']",Movie,['Twin Engine'],"['Manglobe', 'Geno Studio']",7.26,3575.0,2459.0,25552.0,1.0,Novel,"Feb 3, 2017"
PsychoPass 2,"['Action', 'Sci-Fi', 'Police', 'Psychological']",TV,"['Production I.G', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Tatsunoko Production'],7.54,172337.0,203.0,323107.0,11.0,Original,"Oct 10, 2014 to Dec 19, 2014"
Zankyou no Terror,"['Mystery', 'Psychological', 'Thriller']",TV,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']",['MAPPA'],8.21,282887.0,84.0,510430.0,11.0,Original,"Jul 11, 2014 to Sep 26, 2014"
Paulette no Isu,"['Slice of Life', 'Comedy', 'Kids']",ONA,['Studio Colorido'],,7.12,3330.0,5049.0,5090.0,1.0,Unknown,"Mar 21, 2014"
Gekkan Shoujo Nozakikun,"['Comedy', 'Romance', 'School']",TV,"['TV Tokyo', 'Frontier Works', 'Media Factory', 'AT-X', 'Sony Music Communications']",['Doga Kobo'],8.15,229715.0,123.0,418283.0,12.0,4-koma manga,"Jul 7, 2014 to Sep 22, 2014"
Pokemon Best Wishes Season 2 Decolora Adventure  Iris vs Ibuki Dragon Master e no Michi,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Special,['TV Tokyo'],,6.71,1771.0,5867.0,3917.0,1.0,Unknown,"Mar 27, 2014"
Pokemon XY Mega Evolution,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",Special,['TV Tokyo'],['OLM'],7.61,8025.0,3329.0,14466.0,4.0,Game,"Apr 3, 2014 to Oct 29, 2015"
Hiroshima e no Tabi,"['Drama', 'Historical', 'Slice of Life']",OVA,['Shinano Kikaku'],['Toei Animation'],5.71,17.0,12465.0,118.0,1.0,Unknown,"Jul 20, 1994"
Shin Sei Yariman Gakuen Enkou Nikki The Animation,['Hentai'],OVA,['Pink Pineapple'],['Seven'],6.63,1407.0,5874.0,3682.0,1.0,Visual novel,"Jun 27, 2014"
Rail Wars,"['Action', 'Harem', 'Police', 'Ecchi']",TV,"['Lantis', 'Pony Canyon', 'TBS']",['Passione'],6.45,50787.0,833.0,110635.0,12.0,Light novel,"Jul 4, 2014 to Sep 19, 2014"
Garo Honoo no Kokuin,"['Action', 'Demons', 'Supernatural', 'Magic', 'Fantasy']",TV,['Tohokushinsha Film Corporation'],['MAPPA'],7.5,31245.0,1060.0,88838.0,24.0,Original,"Oct 4, 2014 to Mar 28, 2015"
Zettai Zetsumei Dangerous Jiisan,"['Comedy', 'Kids']",TV,,,5.44,18.0,13403.0,124.0,33.0,Unknown,"Oct, 2003 to Mar, 2004"
Kuroshitsuji Book of Murder,"['Comedy', 'Demons', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Supernatural']",OVA,['DeNA'],['A-1 Pictures'],8.34,51179.0,796.0,106806.0,2.0,Manga,"Jan 28, 2015 to Feb 25, 2015"
Suisei no Gargantia Meguru Kouro Haruka,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",OVA,['Bandai Visual'],['Production I.G'],7.44,11869.0,2516.0,26463.0,2.0,Original,"Sep 27, 2014 to Apr 4, 2015"
Log Horizon 2nd Season,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic']",TV,['NHK'],['Studio Deen'],7.67,168502.0,224.0,310145.0,25.0,Novel,"Oct 4, 2014 to Mar 28, 2015"
Shirogane no Ishi Argevollen,"['Action', 'Mecha']",TV,"['Warner Bros.', 'KlockWorx', 'Bushiroad', 'Showgate']",['Xebec'],6.53,13139.0,2244.0,35340.0,24.0,Original,"Jul 3, 2014 to Dec 18, 2014"
SpaceDandy 2nd Season,"['Space', 'Comedy', 'Sci-Fi']",TV,"['Bandai Visual', 'flying DOG', 'Bandai Namco Entertainment']",['Bones'],8.28,43912.0,1046.0,84793.0,13.0,Original,"Jul 6, 2014 to Sep 25, 2014"
DRAMAtical Murder,"['Action', 'Sci-Fi', 'Super Power', 'Psychological']",TV,"['Avex Entertainment', 'Nitroplus', 'DIVE II Entertainment']",['NAZ'],6.28,40193.0,963.0,101074.0,12.0,Visual novel,"Jul 7, 2014 to Sep 22, 2014"
Mahouka Koukou no Rettousei Yoku Wakaru Mahouka,"['Magic', 'Comedy']",ONA,"['Madhouse', 'Aniplex']",,6.38,7412.0,3189.0,17122.0,6.0,Unknown,"Feb 22, 2014 to Sep 13, 2014"
Futari no Oujisama,"['Fantasy', 'Slice of Life']",Movie,['Shinano Kikaku'],['Toei Animation'],5.0,20.0,13198.0,130.0,1.0,Unknown,"Jul 12, 1996"
Yukiguni no Oujisama,['Slice of Life'],Movie,['Shinano Kikaku'],['Toei Animation'],6.36,14.0,13603.0,113.0,1.0,Unknown,"Dec 21, 1985"
Itsuka no Main Kaminari Shounen  Tenta Sanjou,"['Action', 'Drama', 'Seinen']",OVA,['Toei Video'],['J.C.Staff'],6.41,17.0,13236.0,142.0,1.0,Manga,"Feb 21, 1996"
Code Geass Boukoku no Akito 2  Hikisakareshi Yokuryuu Picture Drama,"['Action', 'Comedy', 'Military']",Special,,['Sunrise'],7.41,3187.0,3949.0,10467.0,1.0,Unknown,"Dec 25, 2013"
Ore no Imouto ga Konnani Kawaii Wake ga Nai Ore no Imouto ga Konnani Eroge na Wake Nai,"['Comedy', 'Romance']",Special,['Aniplex'],,6.73,1547.0,5261.0,5150.0,1.0,Unknown,"Jan 22, 2014"
By Your Side,['Music'],Music,['dwarf'],,6.14,492.0,9551.0,819.0,1.0,Unknown,"Mar 11, 2014"
Kitakubu Katsudou Kiroku Miniature Theater,"['Comedy', 'School']",Special,,['Nomad'],6.31,584.0,8318.0,1481.0,6.0,Manga,"Oct 23, 2013 to Dec 18, 2013"
Bakuman 2nd Season Special,['Comedy'],Special,,['J.C.Staff'],6.88,3744.0,4123.0,9400.0,1.0,Unknown,"Sep 26, 2012"
Minarai Diva,['Music'],TV,"['NOTTV', 'Bouncy']",['Yaoyorozu'],5.54,118.0,8862.0,1162.0,10.0,Original,"Jul 14, 2014 to Sep 22, 2014"
Kyoukai no Kanata Shinonome,"['Fantasy', 'Slice of Life', 'Supernatural']",Special,,['Kyoto Animation'],7.76,32164.0,1400.0,60358.0,1.0,Light novel,"Jul 2, 2014"
Shin Don Chuck Monogatari,"['Adventure', 'Kids', 'Slice of Life']",TV,['Knack Productions'],,6.35,51.0,12374.0,186.0,73.0,Unknown,"Apr 7, 1976 to Mar 25, 1978"
Tobacco wa Dasai,"['School', 'Slice of Life']",ONA,,,4.71,102.0,11380.0,329.0,1.0,Unknown,"Feb 13, 2014"
Tokyo Ravens Kon ga Oshiete Moshi Agemasu Maru Wakari Tokyo Ravens,"['Shounen', 'Supernatural']",ONA,"['Geneon Universal Entertainment', 'Tokyo MX']",,6.89,2089.0,4439.0,8033.0,3.0,Unknown,"Oct 23, 2013 to Jan 30, 2014"
ReHamatora,"['Mystery', 'Comedy', 'Super Power', 'Drama']",TV,"['TV Tokyo', 'Sotsu', 'AT-X', 'DAX Production', 'NAZ', 'DIVE II Entertainment', 'Avex Pictures', 'Q-Tec', 'Shueisha', 'Toy&#039;s Factory']",['Lerche'],7.48,46714.0,940.0,100244.0,12.0,Original,"Jul 8, 2014 to Sep 23, 2014"
Mujaki no Rakuen,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",OVA,['Hakusensha'],,6.06,6534.0,3227.0,16773.0,3.0,Manga,"Aug 29, 2014 to Aug 29, 2016"
